,NU_ANO_CENSO,SG_UF,yhat_adjusted,QT_VG_TOTAL,error_percentage,rolling_yhat_adjusted,MA_yhat_adjusted
117,2013,MG,3907.2132385669347,3157,23.763485542189887,3279.23,3528.07
118,2013,MS,235.1506225301608,190,23.763485542189898,211.76,224.22
119,2013,MT,379.9539006145229,307,23.763485542189876,268.21,294.38
120,2013,PA,555.6980500844326,449,23.76348554218988,468.26,498.44
121,2013,PB,974.0186312170343,787,23.763485542189876,724.47,835.02
122,2013,PE,850.2551456748446,687,23.763485542189898,696.17,789.98
123,2013,PI,428.221659975977,346,23.763485542189883,365.99,388.12
124,2013,PR,1547.0435692773735,1250,23.763485542189883,1170.41,1326.97
125,2013,RJ,2956.709669602916,2389,23.763485542189876,2635.25,2732.31
126,2013,RN,325.4979669759594,263,23.763485542189887,285.66,300.83
127,2013,RO,309.40871385547473,250,23.76348554218989,255.5,295.03
128,2013,RR,37.129045662656964,30,23.76348554218988,33.23,34.28
129,2013,RS,1393.5768472050581,1126,23.763485542189887,1175.76,1252.48
130,2013,SC,1231.4466811447894,995,23.76348554218989,865.17,968.22
131,2013,SE,321.78506240969375,260,23.763485542189905,234.0,273.15
132,2013,SP,4517.36722228993,3650,23.763485542189873,3680.68,4043.07
133,2013,TO,519.8066392771975,420,23.763485542189887,446.37,461.97
134,2014,AC,188.20083878533939,173,8.786612014647044,96.27,121.95
135,2014,AL,431.88284969814873,397,8.786612014647035,247.89,298.86
136,2014,AM,535.2301311120634,492,8.786612014647035,412.07,451.4
137,2014,AP,35.89958196483352,33,8.786612014647039,36.81,38.37
138,2014,BA,1295.6485490944463,1191,8.78661201464704,1058.25,1142.26
139,2014,CE,934.4769972058181,859,8.786612014647039,862.11,904.74
140,2014,DF,624.4351529640741,574,8.78661201464705,469.18,533.14
141,2014,ES,614.6443578827558,565,8.786612014647044,639.51,678.61
142,2014,GO,702.76151361462,646,8.786612014647051,550.1,617.47
143,2014,MA,537.4058633523564,494,8.786612014647043,382.78,445.07
144,2014,MG,4313.389166380755,3965,8.786612014647046,3789.84,4110.3
145,2014,MS,380.7531420512646,350,8.78661201464703,276.4,307.95
146,2014,MT,518.9121393098665,477,8.786612014647057,369.22,449.43
147,2014,PA,596.1506338402659,548,8.786612014647057,531.01,575.92
148,2014,PB,1159.6652840761376,1066,8.786612014647053,943.23,1066.84
149,2014,PE,968.2008469303586,890,8.786612014647032,849.38,909.23
150,2014,PI,436.2343141787347,401,8.786612014647051,404.15,432.23
151,2014,PR,1481.6736556394926,1362,8.786612014647034,1378.54,1514.36
152,2014,RJ,3376.736436934644,3104,8.786612014647043,2947.12,3166.72
153,2014,RN,368.7866147296535,339,8.786612014647044,323.48,347.14
154,2014,RO,375.3138114505323,345,8.786612014647039,321.79,342.36
155,2014,RR,89.20502185201057,82,8.786612014647043,52.59,63.17
156,2014,RS,1395.7322321479214,1283,8.786612014647034,1300.23,1394.65
157,2014,SC,1164.0167485567233,1070,8.786612014647039,1033.49,1197.73
158,2014,SE,294.8117185596935,271,8.786612014647039,280.37,308.3
159,2014,SP,5205.43938490086,4785,8.786612014647027,4430.53,4861.4
160,2014,TO,543.9330600732352,500,8.786612014647039,489.29,531.87
161,2015,AC,196.21338650529742,182,7.809553024888693,146.7,192.21
162,2015,AL,419.379161266817,389,7.809553024888687,339.04,425.63
163,2015,AM,407.52011043407924,378,7.809553024888688,436.78,471.38
164,2015,AP,70.07620946617764,65,7.809553024888684,48.94,52.99
165,2015,BA,1361.634654704344,1263,7.80955302488868,1215.38,1328.64
166,2015,CE,1479.147067501473,1372,7.8095530248887,1096.21,1206.81
167,2015,DF,517.4858545194656,480,7.809553024888677,527.92,570.96
168,2015,ES,591.8744461066389,549,7.809553024888681,649.7,603.26
169,2015,GO,1095.3450587328691,1016,7.809553024888693,776.76,899.05
170,2015,MA,527.1887142917057,489,7.809553024888681,472.44,532.3
171,2015,MG,4506.439316440347,4180,7.80955302488869,4242.35,4409.91
172,2015,MS,453.8782182347814,421,7.809553024888693,356.59,417.32
173,2015,MT,585.4058729251456,543,7.809553024888685,494.76,552.16
174,2015,PA,650.0916047400788,603,7.809553024888684,600.65,623.12
175,2015,PB,1092.1107721421224,1013,7.809553024888688,1075.26,1125.89
176,2015,PE,968.1297861635004,898,7.809553024888685,928.86,968.17
177,2015,PI,434.4724986903014,403,7.809553024888682,432.98,435.35
178,2015,PR,1729.2652305192146,1604,7.8095530248886895,1585.99,1605.47
179,2015,RJ,4812.618447031031,4464,7.809553024888685,3715.35,4094.68
180,2015,RN,385.95819982910155,358,7.8095530248887,360.08,377.37
181,2015,RO,293.24198422769723,272,7.809553024888688,325.99,334.28
182,2015,RR,88.40383348040872,82,7.809553024888685,71.58,88.8
183,2015,RS,1562.160423330637,1449,7.809553024888687,1450.49,1478.95
184,2015,SC,998.3164610104692,926,7.809553024888682,1131.26,1081.17
185,2015,SE,304.0229395301861,282,7.809553024888681,306.87,299.42
186,2015,SP,5518.771019344053,5119,7.8095530248887,5080.53,5362.11
187,2015,TO,628.5296941351011,583,7.80955302488869,564.09,586.23
188,2016,AC,265.70020658962466,265,0.26422890174515334,216.7,230.96
189,2016,AL,608.6038694335931,607,0.2642289017451572,486.62,513.99
190,2016,AM,559.4743972717381,558,0.26422890174517893,500.74,483.5
191,2016,AP,64.1691064971169,64,0.264228901745156,56.71,67.12
192,2016,BA,1515.995140994387,1512,0.2642289017451673,1391.09,1438.81
193,2016,CE,1794.7296973412385,1790,0.2642289017451695,1402.78,1636.94
194,2016,DF,472.24451812721975,471,0.2642289017451696,538.06,494.87
195,2016,ES,557.4691126937031,556,0.2642289017451611,588.0,574.67
196,2016,GO,1234.2526577804829,1231,0.26422890174515656,1010.79,1164.8
197,2016,MA,619.6329346127851,618,0.2642289017451629,561.41,573.41
198,2016,MG,4787.616930058332,4775,0.26422890174518116,4535.82,4647.03
199,2016,MS,514.3554942659526,513,0.2642289017451546,449.66,484.12
200,2016,MT,526.3872017341621,525,0.26422890174516006,543.57,555.9
201,2016,PA,733.9341555607747,732,0.26422890174517544,660.06,692.01
202,2016,PB,1166.0729821272962,1163,0.26422890174515906,1139.28,1129.09
203,2016,PE,1159.054486104174,1156,0.2642289017451535,1031.8,1063.59
204,2016,PI,641.691064971169,640,0.264228901745156,504.13,538.08
205,2016,PR,1654.3597768787954,1650,0.2642289017451758,1621.77,1691.81
206,2016,RJ,5080.3884784514275,5067,0.26422890174516567,4423.25,4946.5
207,2016,RN,457.20488379195797,456,0.26422890174516844,403.98,421.58
208,2016,RO,386.01728127171884,385,0.2642289017451541,351.52,339.63
209,2016,RR,89.2351637225532,89,0.264228901745164,88.95,88.82
210,2016,RS,1679.4258341042314,1675,0.2642289017451581,1545.77,1620.79
211,2016,SC,958.5260283006837,956,0.264228901745159,1040.29,978.42
212,2016,SE,354.9353703121779,354,0.26422890174516805,317.92,329.48
213,2016,SP,5903.557797734756,5888,0.26422890174517144,5542.59,5711.16
214,2016,TO,594.5668773873488,593,0.2642289017451548,589.01,611.55
215,2017,AC,251.16848574145382,232,8.262278336833544,237.69,258.43
216,2017,AL,677.721862388578,626,8.262278336833539,568.57,643.16
217,2017,AM,752.4228344409931,695,8.262278336833544,573.14,655.95
218,2017,AP,64.95736700210013,60,8.262278336833546,66.4,64.56
219,2017,BA,2170.6586806535124,2005,8.262278336833537,1682.76,1843.33
220,2017,CE,1119.431958002859,1034,8.262278336833548,1464.44,1457.08
221,2017,DF,601.9382675527945,556,8.262278336833544,530.56,537.09
222,2017,ES,678.8044851719463,627,8.262278336833546,609.38,618.14
223,2017,GO,1634.7604028861865,1510,8.262278336833544,1321.45,1434.51
